_id,definicion,etimologia,palabra
615e77c994ee91f2ad6126c2,desviación del tipo o de la dirección normal.,(<em>ab</em>: intensificación; participio pasivo de <em>erro -are</em>: ir al azar; <em>-io -</em><em>ionis</em>: resultado),aberración
615e77c994ee91f2ad6126d2,calmarse la tormenta o serenarse el tiempo.,(<em>ad: </em>hacia; <em>bonus -a -um</em>: bueno; <em>-izar </em>< -ίζειν: acción frecuente),abonanzar
615e77c994ee91f2ad6126c8,sin fondo.,(α: negación; βυσσός -οῦ: fondo),abismo
615e77c994ee91f2ad6126dc,"revocar, anular, abolir una ley, un código.",(<em>ab</em>: negación; <em>rogo -are</em>: promulgar),abrogar
615e77c994ee91f2ad61270c,"indiferencia, pereza, indolencia, descuido, flojedad.",(α: negación; κῆδος -εος: cuidado),acidia
615e77c994ee91f2ad61273c,"que produce arquegonios en el ápice del tallo o ramas, con pérdida de la célula apical y finalización del crecimiento del vástago","(ἄκρος -α -ον: alto, extremo; γυνή, γυναικός: mujer; -<em>os</em>: colectivo)",acróginos
615e77c994ee91f2ad612750,órgano que tiene pelos en las extremidades.,"(ἄκρος -α -ον: extremo; θρίξ, τριχός: pelo; <em>-do</em>: sujeto pasivo)",acrotríquido
615e77c994ee91f2ad61275e,"resultado de hacer. Acto reflejo (<em>re: </em>repetición; <em>flecto -is -ere</em>: doblar, plegar) unidad fisiológica del sistema nervioso, es la respuesta al estímulo transmitido en el arco reflejo.","(<em>actum -i < </em>participio pasivo de <em>ago -is -ere, egi, actum</em>: actuar<em> < </em>ἄγω: mover, conducir)",acto
615e77c994ee91f2ad612787,célula secretora de una glándula.,"(ἀδήν -ένος: glándula; κύτος -εος: cavidad, célula)",adenocito
615e77c994ee91f2ad61279c,supresión anormal de la sed.,(α: negación; δίψα -ης: sed; -ια: forma sustantivos),adipsia
615e77c994ee91f2ad6127a8,hormona de la hipófisis que estimula la corteza suprarrenal; ACTH: Adreno Cortico Tropic Hormone.,(<em>ad:</em> junto a; <em>renes -um</em>: riñones; <em>cortex -icis:</em> corteza; τροφή -ῆς: alimento; -<em>ina</em>: sustancia química),adrenocorticotropina
615e77c994ee91f2ad6127ad,persona ya desarrollada.,"(participio pasivo de <em>adolesco -is -ere -levi, adultum</em>: crecer < <em>ad</em>: intensificación; <em>alesco -es -ere</em>: nutrirse, crecer)",adulto
615e77c994ee91f2ad6127d7,sin hojas.,(α: negación; φύλλον -ου: hoja),áfilo
615e77c994ee91f2ad612800,"incapacidad de expresar las ideas por escrito, a consecuencia de una perturbación cerebral.",(α: negación; γράφω: escribir; -ια: forma sustantivos),agrafía
615e77c994ee91f2ad612801,perteneciente o relativo al campo.,"(<em>ager, agri</em>: campo; <em>-arius-a -um</em>: propio de)",agrario
615e77c994ee91f2ad61281f,"mezcla gaseosa incolora, inodora e insípida, compuesta principalmente de nitrógeno y oxígeno, que envuelve la Tierra.","(<em>aer, aeris</em>: aire)",aire
615e77c994ee91f2ad61282e,"falto de pigmentación normal y por lo tanto con la piel, el iris y el pelo más o menos blancos.",(<em>albus -a -um</em>: blanco; <em>-in</em><em>o</em>: forma adjetivos),albino
615e77c994ee91f2ad61283e,pentosa aldehído.,(abreviación de <em>aldehído</em>; πέντε: cinco; -<em>osa</em>: glúcido),aldopentosa
615e77c994ee91f2ad612841,citar como prueba o disculpa.,(<em>ad</em>: cercanía; <em>lego -is -ere</em>: coger),alegar
615e77c994ee91f2ad61284a,"conjunto de gránulos proteicos presentes en diversas semillas, localizado en la parte externa del endospermo.",(ἄλευρον-ου: harina;<em> -ona</em>: compuesto),aleurona
615e77c994ee91f2ad61284c,antídoto; contraveneno.,(ἀλέξω: defender; φάρμακον -ου: remedio),alexifármaco
615e77c994ee91f2ad612861,extraño; que es de otra especie.,"(ἄλλος -η -ο: otro; γένος -εος: origen, nacimiento)",alógeno
615e77c994ee91f2ad612864,se dice del autor que publica obras suyas con el nombre de otro.,"(ἄλλος -η -ο: otro; ὄνομα, ὀνόματος: nombre)",alónimo
615e77c994ee91f2ad612873,"altura, elevación.","(<em>altus -a -um: </em>alto, participio pasivo de<em> alo -is -ere, alui, alitum </em>o<em> altum: </em>alimentar; <em>-</em><em>eza</em>: cualidad)",alteza
615e77c994ee91f2ad612884,rodeos.,"(<em>ambi</em>: alrededor; <em>ago -is -ere: </em>actuar <em>< </em>ἄγω: mover, conducir)",ambages
615e77c994ee91f2ad612892,tela incombustible que no se mancha ni corrompe con el fuego.,"(α: negación; μίαντος -η -ον: que puede ser manchado, adjetivo verbal de μίαινω: corromper)",amianto
615e77c994ee91f2ad61289c,leucoplasto vegetal que forma y almacena almidón.,"(ἄμυλον -ου: almidón ˂ α: negación; μύλη -ης: muela de molino, muela, molar; πλαστός -ή -όν: fabricado, adjetivo verbal de πλάσσ[ττ]ω: restaurar)",amiloplasto
615e77c994ee91f2ad61289f,"monómero componente esencial de las proteínas, existe un número limitado en la naturaleza.","(-<em>am</em> apócope deἌμμων -ωνος: Amón, dios libio; -<em>ina</em>: sustancia química; <em>acer, acris, acre</em>: agrio; -<em>idus</em>: forma adjetivos)",aminoácido
615e77c994ee91f2ad6128a8,una de las membranas embrionarias que encierra una cavidad llena de flujo que envuelve al embrión.,(ἀμνίον -ου: membrana envolvente del feto),amnios
615e77c994ee91f2ad6128a9,vertebrado que tiene el embrión protegido por un amnios. También amniotas.,(ἀμνίον -ου: membrana envolvente del feto; -της: que hace),amniota
615e77c994ee91f2ad6126e9,planta de hojas espinosas cardo.,(ἄκανθα -ης: espina),acanto
615e77c994ee91f2ad6126ec,"cabeza con forma de espina, o cabeza cubierta de espinas con las que se fija a las paredes intestinales de su huésped.",(ἄκανθα -ης: espina; κεφαλή -ῆς: cabeza),acantocéfalo
615e77c994ee91f2ad612700,"amargo, áspero, cruel, riguroso, desapacible.","(<em>acerbus -a -um: </em>acerbo <em>˂ acer, acris, acre</em>: agrio)",acerbo
615e77c994ee91f2ad612702,poner a menos distancia.,"(<em>ad:</em> en relación con; <em>circus -i</em>: anillo < κίρκος -ου: circo, círculo; <em>-ar</em>: sufijo verbal)",acercar
615e77c994ee91f2ad612709,"defecto visual, que consiste en no distinguir el color azul.",(α: negación; κύανος -ου: azul; βλέψις -εως: vista < βλέπω: mirar; -ια: forma sustantivos),acianoblepsia
615e77c994ee91f2ad612713,"disipar lo que ofusca la claridad; poner en claro, volver fácil de entender.",(<em>ad</em>: cercanía; <em>claro -are: </em>aclarar),aclarar
615e77c994ee91f2ad612720,"unión de dos o más cosas. Acoplamiento de energía (ἐνέργεια -ας: eficacia, virtud, fuerza, actividad < ἐν: lugar en; ἔργον -ου: trabajo, obra; -ια: forma sustantivos) en el metabolismo celular, el uso de la energía liberada de la reacción exergónica para realizar una reacción endergónica.","(<em>ad</em>: junto a; <em>copulo -are</em>: juntar, unir; <em>-miento</em>: medio)",acoplamiento
615e77c994ee91f2ad61272a,doctrina basada en la negación de toda autoridad.,(α: negación; κράτος -εος: autoridad),acracia
615e77c994ee91f2ad61273d,estatua que tiene de piedra las extremidades y de otra materia lo restante.,(ἄκρος -α -ον: extremo; λίθος -ου: piedra),acrolito
615e77c994ee91f2ad612761,que vive en el agua.,(<em>aqua -ae</em>: agua; -<em>ticus -a -um</em>: forma adjetivos),acuático
615e77c994ee91f2ad612778,feto humano que al desarrollarse desintegra a otro en el mismo vientre.,"(α: que comparte; δελφῦς -ύος: matriz,<em> que comparte el mismo vientre</em>; φαγέω: comer)",adelfófago
615e77c994ee91f2ad61277b,síntoma oscuro o poco apreciable.,"(α: negación; δῆλος -η -ον: claro, manifiesto; <em>-do</em>: sujeto pasivo)",adélido
615e77c994ee91f2ad612785,inflamación de glándulas.,(ἀδήν -ένος: glándula; -ιτις: inflamación),adenitis
615e77c994ee91f2ad61278d,conjunto de células epiteliales que se disponen de manera característica en cada glándula.,(ἀδήν -ένος: glándula; μέρος -εος: parte),adenómero
615e77c994ee91f2ad612793,"pegarse una cosa con otra, unirse a un partido, opinión, etc.",(<em>ad:</em> junto a; <em>haereo -es -ere</em>: estar unido),adherir
615e77c994ee91f2ad612796,"enseñar, educar; instruir, acostumbrar, preparar, especializar.",(<em>ad:</em> cercanía; <em>dextra -ae:</em> mano derecha; -<em>ar</em>: sufijo verbal),adiestrar
615e77c994ee91f2ad61279e,"añadido a, pegado a algo.","(<em>ad:</em> intensificación; participio pasivo de <em>iungo -are, iunxi, iunctum</em>: unir)",adjunto
615e77c994ee91f2ad6127c3,vehículo capaz de navegar por el aire.,"(ἀήρ, ἀέρος: aire; <em>navis -is</em>: nave)",aeronave
615e77c994ee91f2ad6127c4,"avión más pesado que el aire, provisto de alas, cuya sustentación y avance son consecuencia de la acción de uno o varios motores.","(ἀήρ, ἀέρος: aire; πλάνος -ον: errante, que viaja)",aeroplano
615e77c994ee91f2ad6127c7,barco movido por el viento; velero.,"(ἀήρ, ἀέρος: aire; σκάφος -εος: barco)",aeróscafo
615e77c994ee91f2ad6127e0,"acción de poner cara a cara; insulto, injuria.","(<em>ad:</em> cercanía; <em>frons, frontis</em>: frente)",afrenta
615e77c994ee91f2ad6127e3,"diosa del amor y la belleza, para los griegos; nombre propio femenino.","(Ἀφροδίτη -ης: Afrodita, diosa del amor y la belleza < ἀφρός -οῦ: espuma, <em>nacida en la espuma</em>; otra etimología es, ἀπό: origen, de; ῥόδον -ου: rosa, <em>de color de rosa</em>)",Afrodita
615e77c994ee91f2ad6127ea,cualquier forma de apomixis en la que embriones y semillas se producenasexualmente.,(α: negación; γάμος -ου: matrimonio; σπέρμα -ατος: semilla; -ια: forma sustantivos),agamospermia
615e77c994ee91f2ad6127ef,falta o disminución del sentido del gusto.,(α: negación; γεῦσις -εως: sentido del gusto < γεύω: hacer gustar; -ια: forma sustantivos),ageusia
615e77c994ee91f2ad612812,habitante del campo.,(ἀγρός -οῦ: campo; μένω: permanecer; <em>-a</em>: forma sustantivos),agrómena
615e77c994ee91f2ad612819,palangana para lavarse las manos.,(<em>aquaemanile -is </em><<em> aqua -ae: </em>agua; <em>manus -us: </em>mano),aguamanil
615e77c994ee91f2ad61283b,presencia de alcohol en la sangre.,"(arabismo <em>al</em>: el;<em> kuhúl</em>: sutil,<em> cosmético de polvos de antimonio</em>; αἷμα, αἵματος: sangre; -ια: forma sustantivos)",alcoholemia
615e77c994ee91f2ad612842,"símbolo, comparación.",(ἄλλος -η -ο: otro; ἀγορεύω: hablar; -ια: forma sustantivos),alegoría
615e77c994ee91f2ad612850,"término genérico que comprende todos los trastornos intelectuales, tanto los accidentales como los permanentes; embelesamiento.",(<em>alienus -a -um</em>: ajeno; -<em>c</em><em>ion</em>: llevar a cabo),alienación
615e77c994ee91f2ad612870,de los Alpes.,(<em>alpinus -a -um</em>: alpino < <em>Alpes -ium</em>: Los Alpes; <em>-inus -a -um</em>: forma adjetivos),alpino
615e77c994ee91f2ad61287c,el que recibe amor.,(participio pasivo de <em>amo -are -avi -atum</em>: amar),amado
615e77c994ee91f2ad61287d,que ama; persona que tiene relaciones íntimas no legítimas con otra.,(participio presente de <em>amo -are: </em>amar),amante
615e77c994ee91f2ad612887,"que puede entenderse de varios modos o admitir distintas interpretaciones y dar, por consiguiente, motivo a dudas, incertidumbre o confusión.","(<em>ambi</em>: alrededor; <em>ago -is -ere: </em>actuar <em>< </em>ἄγω: mover, conducir)",ambiguo
615e77c994ee91f2ad61289e,grupo funcional derivado del amoníaco por la sustitución de uno o más átomos de hidrógeno por un radical orgánico.,"(-<em>am</em> apócope de Ἄμμων -ωνος: Amón, dios libio; -<em>ina</em>: sustancia química)",amina
615e77c994ee91f2ad6128ae,radical compuesto de un átomo de nitrógeno y cuatro de hidrógeno.,"(Ἄμμων -ωνος: Amón, dios libio; -<em>io</em>: efecto)",amonio
615e77c994ee91f2ad6126d3,acreditar; dar por bueno; responder por algo o alguien; mejorar; admitir; satisfacer.,(<em>ad: </em>hacia; <em>bonus -a -um</em>: bueno; <em>-ar</em>: sufijo verbal),abonar
615e77c994ee91f2ad6126f6,imposibilidad de la mente de llegar a la certidumbre.,"(α: negación; κατά: hacia arriba; λῆψις -εως: percepción < λαμβάνω: comprender, tomar; -ια: forma sustantivos)",acatalepsia
615e77c994ee91f2ad6126f8,planta cuyo tallo es tan corto que parece que no lo tiene.,(α: negación; καυλός -οῦ: tallo),acaule
615e77c994ee91f2ad6126ff,celentéreos y esponjas que carecen de celoma.,"(α: negación; κοῖλος -η -ον: cóncavo, cavidad; -μα: resultado;<em> -ado</em>: estado; -<em>os</em>: colectivo)",acelomados
615e77c994ee91f2ad612711,"parálisis, sin movimiento.",(α: negación; κίνησις -εως: movimiento < κινέω: mover; -σια: forma sustantivos ˂ -σις: afección; -ια: forma sustantivos),acinesia
615e77c994ee91f2ad61272b,"intemperancia, falta de sobriedad.",(α: negación; κρᾶσις -εως: mezcla < κεράννυμι: mezclar),acrasia
615e77c994ee91f2ad612730,acritud; aspereza.,"(<em>acer, acris, acre</em>: agrio; -<em>monia</em>: condición)",acrimonia
615e77c994ee91f2ad612733,el que camina con las puntas de los pies.,"(ἄκρος -α -ον: elevado; βατός -ή -όν: transitable, adjetivo verbal de βαίνω: caminar, marchar)",acróbata
615e77c994ee91f2ad61273b,horror a las alturas; vértigo que producen las alturas.,(ἄκρος -α -ον: elevado; φόβος -ου: miedo; -ια: forma sustantivos),acrofobia
615e77c994ee91f2ad612747,se dice del astro que sale o se pone a la caída del sol.,"(ἄκρος -α -ον: profundo; νύξ, νυκτός: noche)",acrónico
615e77c994ee91f2ad612749,"ciudadela de Atenas, situada en lo alto de un peñasco.",(ἄκρος -α -ον: elevado; πόλις -εως: ciudad),acrópolis
615e77c994ee91f2ad612756,"antibióticos polipeptídicos aislados de las bacterias de suelo del género <em>streptomyces</em>, puede inhibir la síntesis del DNA o RNA.",(ἀκτίς -ῖνος: rayo; μύκης -ητος: hongo; -<em>ina</em>: sustancia química),actinomicina
615e77c994ee91f2ad612774,"disparate, despropósito; a las afirmaciones equivocadas se llaman <em>adefesios</em>.","(<em>ad:</em> hacia; <em>un subdiácono católico leyó </em>Ad Ephesios<em> en vez de </em>Ad Corinthios, ambas epístolas de san Pablo)",adefesio
615e77c994ee91f2ad61277d,que tiene oculta la cabeza.,"(α: negación; δῆλος -η -ον: claro, manifiesto; κεφαλή -ῆς: cabeza)",adelocéfalo
615e77c994ee91f2ad612781,dolor de una glándula.,(ἀδήν -ένος: glándula; ἄλγος -εος: dolor; -ια: forma sustantivos),adenalgia
615e77c994ee91f2ad612784,ácido úrico producida por la actividad celular de los animales.,(ἀδήν -ένος: glándula; -<em>ina</em>: sustancia química),adenina
615e77c994ee91f2ad612797,"falta de fuerzas, debilidad, postración.",(α: negación; δύναμις-εως: fuerza; -ια: forma sustantivos),adinamia
615e77c994ee91f2ad6127ae,"muy caliente, austero, melancólico, rígido.","(<em>ad</em>: intensificación; participio pasivo de <em>uro -is -ere, ussi, ustus</em>: quemar)",adusto
615e77c994ee91f2ad6127b0,parecido al aire.,"(<em>aer, aeris</em>: aire; <em>forma -ae: </em>forma; <em>-e</em>: modo)",aeriforme
615e77c994ee91f2ad6127c9,dispersión de partículas muy finas de un líquido o una solución en un medio gaseoso.,"(ἀήρ, ἀέρος: aire; apócope de <em>solvo -is -ere</em>: disolver)",aerosol
615e77c994ee91f2ad6127cb,globo que se mantiene en el aire.,"(ἀήρ, ἀέρος: aire; στατός -ή -όν: parado, adjetivo verbal de ἵστημι: poner en pie; -ικός -ή -όν: relativo a)",aerostático
615e77c994ee91f2ad6127d1,"<em>sin alas visibles;</em> insectos ápteros, saltadores, hematófagos, con metamorfosis complicadas; p ej: pulga y nigua.",(α: negación; φαίνω: mostrar; πτερόν -οῦ: ala),afaníptero
615e77c994ee91f2ad6127eb,animales acéfalos que no tienencanalintestinal.,(α: negación; γαστήρ -τρός: estómago; -ικός -ή -όν: relativo a),agástrico
615e77c994ee91f2ad6127fc,"Augusto Octavio imitando a Julio César legó su nombre al mes y, alteró varios meses, logrando que <em>su</em><em> </em><em>mes</em> tuviera 31 días. Así julio y agosto tienen 31 días. Su piedra es la sardónica y su flor, la amapola.","(<em>augeo -es -ere, auxi, auctum</em>: aumentar; <em>-to</em>: sujeto pasivo)",agosto
615e77c994ee91f2ad6127fe,"complacer, gusta.",(<em>ad: </em>intensificación; <em>gratus -a -um</em>: grato; <em>-ar</em>: sufijo verbal),agradar
615e77c994ee91f2ad612826,"pérdida del lenguaje producida por una afección local de los órganos vocales y, especialmente, por lesiones nerviosas centrales o periféricas.",(α: negación; λαλέω: hablar; -ια: forma sustantivos),alalia
615e77c994ee91f2ad612827,"membrana embrionaria de reptiles, aves y mamíferos; en los dos primeros sirve como órgano para almacenar desechos y en los últimos forma la mayor parte del cordón umbilical.","(ἀλλάς -ᾶντος: salchichón, morcilla; εἶδος -εος: forma, figura)",alantoides
